local_word,mean
เช่น,ใช้ยกตัวอย่าง
ตัวอย่าง,กรณีที่แสดงประกอบ
ตัวอย่างเช่น,เช่น
ได้แก่,แสดงรายการตัวอย่าง
เป็นต้น,ลงท้ายการยกตัวอย่าง
ตัวอย่างหนึ่งคือ,กรณีที่ใช้เป็นตัวอย่างได้
อย่างเช่น,ใช้ยกตัวอย่าง
ยกตัวอย่าง,การให้ตัวอย่างประกอบ
ตัวอย่างที่เห็นได้ชัด,ตัวอย่างที่ชัดเจน
อาทิ,คำทางการ ใช้ยกตัวอย่าง
อาทิเช่น,คำสุภาพ ใช้ยกตัวอย่าง
ตัวอย่างประกอบ,กรณีที่ใช้สนับสนุนเนื้อหา
อย่างเช่นว่า,ใช้ยกตัวอย่างเพิ่มเติม
สมมติว่า,ยกกรณีสมมุติ
เพื่อเป็นตัวอย่าง,ใช้แสดงกรณี
ในกรณีของ,ใช้เปิดกรณีตัวอย่าง
กล่าวคือ,อธิบายหรือแจกแจงตัวอย่าง
อย่างกรณี,เปิดหัวข้อย่อยที่เป็นตัวอย่าง
ที่เห็นบ่อยคือ,ยกกรณีพบเจอทั่วไป
ยกกรณี,อธิบายโดยยกกรณี
อันได้แก่,ใช้ลำดับรายการตัวอย่าง
ยกตัวอย่างเช่น,ใช้แสดงรายการตัวอย่าง
อันเป็นตัวอย่าง,แสดงสิ่งที่เป็นตัวอย่าง
อย่างเช่นกรณี,เปิดหัวข้อย่อยที่เป็นกรณีตัวอย่าง
ซึ่งได้แก่,ใช้แจกแจง
ซึ่งตัวอย่างคือ,ใช้ตามหลังประโยคเพื่อแสดงตัวอย่าง
อาทิเป็นต้น,ใช้ย้ำความหมายของ 'อาทิ' และ 'เป็นต้น'
เช่นว่า,ใช้ยกตัวอย่างทั่วไป
อย่างเช่นตัวนี้,ยกตัวอย่างเฉพาะเจาะจง
อย่างในกรณี,เปิดกรณีเฉพาะ
เปรียบได้กับ,ใช้เทียบเคียงเพื่อเข้าใจ
เปรียบเทียบกับ,ใช้เปรียบเพื่อแสดงความแตกต่าง/ตัวอย่าง
ที่สามารถยกตัวอย่างได้,ใช้ในเชิงวิชาการ
ที่ถือเป็นตัวอย่าง,สิ่งที่ใช้แสดงเป็นตัวอย่างได้
ที่พอเป็นตัวอย่างได้,ใช้พอประมาณในการยกตัวอย่าง
นับเป็นตัวอย่างของ,การยืนยันตัวอย่าง
ในทำนองเดียวกัน,เปรียบเทียบสิ่งคล้ายกัน
ตัวอย่างประกอบได้แก่,แสดงตัวอย่างที่เสริมคำอธิบาย
ยกตัวอย่างประกอบ,เสริมด้วยตัวอย่าง
กรณีตัวอย่าง,ใช้เรียกตัวอย่าง
ดังเช่น,คล้ายกับ 'เช่น' แต่ดูสุภาพกว่า
เช่นกรณีของ,เปิดกรณีตัวอย่าง
เช่นในกรณี,ยกเหตุการณ์หรือเรื่องขึ้นมาแสดงเป็นตัวอย่าง
เป็นต้นแบบ,ใช้ในความหมายที่เป็นแม่แบบ/ตัวอย่างที่ดี
เทียบได้กับ,ใช้เปรียบให้เห็นภาพ
ที่ใช้เป็นตัวอย่าง,คุณสมบัติของสิ่งที่เหมาะสมจะยกตัวอย่าง
พอเป็นตัวอย่างได้ว่า,การยกเพื่อชี้แสดง
กรณีที่เป็นตัวอย่าง,สิ่งที่ถือว่าใช้แทนได้
ดูได้จาก,ชี้ไปยังตัวอย่าง
ดังตัวอย่างต่อไปนี้,เกริ่นก่อนยกตัวอย่าง
